T,U,Delta,kind,hilbert_mode,run,mu,mu_minus_U_over_2,ne_actual,dne,A_arith_0,A_typ_0,sigma,kappa,lorenz,L11,L12,L22,iterations,converged,diff,max_ImSigma_raw,max_ImSigma_thermal,n_causality_bad,n_causality_bad_thermal,status,error
0.02,2,0.05,typ,pv,target_ne,1.5,0.5,0.4981915112822449,-0.00180848871775513,0.2521210808574926,0.2516198667296471,0.09973172370237667,0.005961628799196582,2.988832729386845,0.09973172370237667,0.001052509340166373,0.0001303401340408176,193,True,0.001996824847226915,-0.0001698392901196034,-0.01074466253707462,0,0,ok,
0.02,2,0.05,typ,pv,mu_U_over_2_diagnostic,1,0,0.4662933821533216,-0.03370661784667844,0.0004247978239874326,0.0004247977278563847,2.16499552177092e-07,1.538109978967762e-08,3.552224389151671,2.16499552177092e-07,-8.698619119378387e-13,3.076219992885238e-10,250,False,0.00260736040066399,-0.0001704527326309626,-0.02958669465051442,0,0,ok,
0.02,0,0.5,typ,pv,target_ne,0.03617765056182023,0.03617765056182023,0.4973977234181541,-0.002602276581845919,0.611132790886354,0.6094288918121191,3.673729543050936,0.2416171250346963,3.28844464737107,3.673729543050936,-0.0003629474462100331,0.004832378358218866,69,True,0.001983165376640191,0.1800602971169388,-0.03931992391911082,4,0,ok,
0.02,0,0.5,typ,pv,mu_U_over_2_diagnostic,0,0,0.4792819033217883,-0.02071809667821173,0.6113821697825785,0.6097743773350249,3.682857211794345,0.2421656968087314,3.287742137180829,3.682857211794345,-4.85722573273506e-17,0.004843313936174628,68,True,0.001953096507779689,0.1806596693703248,-0.03969857743898098,4,0,ok,
0.02,0.5,0.5,typ,pv,target_ne,0.2843961656769646,0.03439616567696463,0.4965386769350502,-0.003461323064949839,0.5470556740112464,0.5469958330675641,1.016411062450014,0.06678048292141012,3.285111968401774,1.016411062450014,-5.246839113462638e-05,0.001335612366911187,47,True,0.001975775009230462,0.1051145237881632,-0.1449750517522058,4,0,ok,
0.02,0.5,0.5,typ,pv,mu_U_over_2_diagnostic,0.25,0,0.4825470056138686,-0.0174529943861314,0.5472355080223152,0.5471869448512922,1.017354383603042,0.06684172459399618,3.285075764713908,1.017354383603042,3.855685815276622e-07,0.001336834492026051,89,True,0.001970843443823448,0.1022715995927392,-0.146130702189158,4,0,ok,
0.02,1,0.5,typ,pv,target_ne,0.5633034461313657,0.06330344613136574,0.4963430847928905,-0.003656915207109535,0.3110162457887984,0.303428981717306,0.1350367714811186,0.009330743620620658,3.454889923047856,0.1350367714811186,0.0008101202622276336,0.0001914749918604224,140,True,0.001984408813042713,-0.0002021877392507317,-0.4778014870353066,0,0,ok,
0.02,1,0.5,typ,pv,mu_U_over_2_diagnostic,0.5,0,0.4792772090272563,-0.02072279097274365,0.2739799425196175,0.2710533005558308,0.109876142776277,0.008813103987701616,4.010472048352805,0.109876142776277,-5.490480095149321e-06,0.0001762623541117856,99,True,0.001934816228280663,-0.0001967364578190989,-0.5407770801411951,0,0,ok,
0.02,1.5,0.5,typ,pv,target_ne,1.015017152043392,0.2650171520433922,0.4965607684608864,-0.003439231539113574,0.2912566693568066,0.2511875218488036,0.09265464726427751,0.005614547134132621,3.029824892710632,0.09265464726427751,0.0008894608910975581,0.0001208295395059235,239,True,0.001998517196106269,-0.0002903896286493067,-0.03331019428468818,0,0,ok,
0.02,1.5,0.5,typ,pv,mu_U_over_2_diagnostic,0.75,0,0.457865612300571,-0.04213438769942895,0.00126782165584073,0.001261065327923023,1.980676748975263e-05,3.183505856621376e-05,80.36409419831928,1.980676748975263e-05,2.470216701911084e-08,6.367319788276072e-07,250,False,0.002435472618777846,-0.0003785209986013939,-0.04027350517563992,0,0,ok,
