T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,sigma,kappa,kappa_bare,thermoelectric_correction,lorenz,L11,L12,L22,tau_min,tau_max,max_ImSigma_raw,max_ImSigma_thermal,n_causality_bad,n_causality_bad_thermal,solution_dir,status,error
0.02,0.9,0.05,typ,0.45,0.55,0.5839138610576183,0.5471304207575372,-0.002869579242462894,0.3474726515637431,0.3473808202134967,0.9997357163223261,33,True,0.001870681534789747,0.1854924616429695,0.01210514497046225,0.01253431380194129,0.0004291688314790419,3.262974911013334,0.1854924616429695,0.001261804921622072,0.0002506862760388259,2.783646259683889e-11,1.782211334658005,0.0007122589164107483,-0.3782009982658245,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p9__Delta_0p05__w1_0p45__typ,ok,
0.02,1,0.05,typ,0.5,0.5,0.6362737417956086,0.4970632049364744,-0.002936795063525566,0.3524882977598487,0.3522937851847445,0.999448172956832,115,True,0.001994935708564124,0.1969525316391802,0.01231320426698896,0.01278908727078066,0.0004758830037917019,3.125931960485514,0.1969525316391802,0.001369133757971319,0.0002557817454156131,2.855113926963649e-11,0.9510541317771994,0.0006404998991631789,-0.3675281801335842,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1__Delta_0p05__w1_0p5__typ,ok,
0.02,1,0.05,typ,0.45,0.55,0.6921070337143791,0.5481065646609784,-0.001893435339021643,0.3506532006957658,0.3504636048650286,0.9994593067156924,128,True,0.001967727460071009,0.190525807175801,0.01195178779343127,0.01234180848841431,0.0003900206949830432,3.136527269086223,0.190525807175801,0.001219089887800823,0.0002468361697682862,2.708535405933588e-11,1.281094251577794,0.0007096021573276518,-0.392113962910863,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1__Delta_0p05__w1_0p45__typ,ok,
0.02,1,0.05,typ,0.4,0.6,0.7696430495774267,0.604778281865417,0.004778281865417067,0.3580665876166224,0.3578884922292629,0.9995026193632172,130,True,0.001951894709019215,0.1990450143102003,0.01262544071059011,0.01289037420624697,0.0002649334956568574,3.171503881758646,0.1990450143102003,0.001026973139222936,0.0002578074841249393,2.542807561531285e-11,2.421080966331469,0.0007880005584889983,-0.3969458152285706,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1__Delta_0p05__w1_0p4__typ,ok,
0.02,1.4,0.05,typ,0.5,0.5,0.960948078798706,0.4968757546439354,-0.003124245356064592,0.2994803001576757,0.2990800826824981,0.9986636267061078,217,True,0.001961591775121437,0.140016827157613,0.008672231185228512,0.009136436546135874,0.0004642053609073626,3.096853200175156,0.140016827157613,0.001140145269549486,0.0001827287309227175,2.741079759846595e-11,0.4677640198514647,-0.000139997183191346,-0.02859776354890632,0,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1p4__Delta_0p05__w1_0p5__typ,ok,
0.02,1.4,0.05,typ,0.45,0.55,1.009606069899489,0.5488857717332426,-0.001114228266757444,0.2944420907536799,0.2940342674146725,0.9986149285315715,192,True,0.001962618158704968,0.1297062560408012,0.008040808750625383,0.008444414101705197,0.0004036053510798141,3.099622561033608,0.1297062560408012,0.0010232315378896,0.0001688882820341039,2.585587519663933e-11,0.5606207101977697,-0.0001319306070201945,-0.04430240847126375,0,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1p4__Delta_0p05__w1_0p45__typ,ok,
0.02,1.4,0.05,typ,0.4,0.6,1.061389667689443,0.6007103996780138,0.0007103996780137845,0.2897183142925014,0.289303088299553,0.9985667941153034,191,True,0.00198306987944439,0.1214029692928248,0.0075393873568433,0.007882859365969762,0.0003434720091264623,3.105108302029354,0.1214029692928248,0.0009132198177539156,0.0001576571873193953,2.435339023888093e-11,0.6698250861855527,0.0001821395044700517,-0.07105544977395896,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1p4__Delta_0p05__w1_0p4__typ,ok,
0.02,1.2,0.05,typ,0.5,0.5,0.7020022119556703,0.4622404025208328,-0.03775959747916718,0.2123621022190059,0.2120938491860625,0.9987368130653238,250,True,0.001990097679636445,0.06513377824753658,0.003488594870792147,0.004598875634673343,0.001110280763881196,2.678022805259335,0.06513377824753658,0.00120263694494343,9.197751269346687e-05,2.93325688709034e-11,0.4780738657857702,-0.0002058169335774631,-0.09738617309719837,0,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1p2__Delta_0p05__w1_0p5__typ,ok,
0.02,1.2,0.05,typ,0.45,0.55,0.8775214069140047,0.5545243488625453,0.004524348862545269,0.3417332853357294,0.3414324833321335,0.999119775519378,237,True,0.00199642224078154,0.1814446059937425,0.0115106042344333,0.01180974674746976,0.0002991425130364581,3.171933431526279,0.1814446059937425,0.001041900143141156,0.0002361949349493952,2.609283975878102e-11,0.7447771402331906,0.0006250901055613956,-0.4233728667385082,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1p2__Delta_0p05__w1_0p45__typ,ok,
0.02,1.2,0.05,typ,0.4,0.6,0.9250075205269264,0.6001320422575136,0.0001320422575136204,0.3314515738900514,0.3311529795870541,0.9990991314372326,248,True,0.001993484675384182,0.1647698958515597,0.01044090019517053,0.01069961794200012,0.000258717746829595,3.168327606572222,0.1647698958515597,0.0009233514628792499,0.0002139923588400024,2.474559372676775e-11,0.781556693290084,0.0006558531323424319,-0.4603761626187264,1,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_1p2__Delta_0p05__w1_0p4__typ,ok,
